comment,do_eval,skip_train,dataset_subset_template,nontrivial_choices_given,nontrivial_choices_hidden,trivial_choices_given,trivial_choices_hidden,generative_non_true_task,generative_non_true_implausible,generative_true_task,negated_answers,counting,non_true_task_other,awkward_phrasing,ungrammatical,template_bug,long_distance,no_sep_2_sentences,verbose,answer_span_indices,non_natural_language
,True,,super_glue_record_What_could_the_placeholder_be_,True,,,,,,,,,,,,,,,,,
no difference here?,True,,super_glue_record_Which_one_is_the_placeholder_,True,,,,,,,,,,,,,,,,,
,True,,super_glue_record_the_placeholder_refers_to_,,True,,,,,,,,,,,,,,,,
,True,True,super_glue_rte_GPT_3_style,True,,,,,,,,,,,,,,,,,
,True,True,super_glue_rte_Suppose_Can_we_infer_that_,,,,True,,,,,,,,,,,,,,
,True,True,super_glue_rte_based_on_the_previous_passage,,,,True,,,,,,,,,,,,,,
,True,True,super_glue_rte_does_S1_entail_S2_,,,True,,,,,,,,,,,,,,,
,True,True,super_glue_rte_given_does_it_follow_that_,,,,True,,,,,,,,,,,,,,
,True,True,super_glue_rte__Therefore_we_re_licensed_to_say_that_,,,,True,,,,,,,,,,,,,,
,True,True,super_glue_rte__does_the_previous_passage_support_the_claim_that,,,,True,,,,,,,,,,,,,,
,True,,super_glue_wic_GPT_3_prompt,,,,True,,,,,,,,,,,True,,,
,True,,super_glue_wic_GPT_3_prompt_with_label,,,True,,,,,,,,,,,,True,,,
,True,,super_glue_wic_question_context,,,,True,,,,,,,,,,,True,,,
,True,,super_glue_wic_question_context_meaning,,,,True,,,,,,,,,,,True,,,
,True,,super_glue_wic_question_context_meaning_with_label,,,True,,,,,,,,,,,,True,,,
,True,,super_glue_wic_similar_sense,,,,True,,,,,,,,,,,True,,,
,True,,super_glue_wsc.fixed_Here_p_stands_for_,,,,,,,,,,,,,,,,,,
,True,,super_glue_wsc.fixed_In_the_previous_sentence_the_pronoun_refers_to_,,,,,,,,,,,,,,,,,,
,True,,super_glue_wsc.fixed_Who_is_are_,,,,,,,,,,,,,,,,,,
,True,,super_glue_wsc.fixed_in_the_passage_above_the_pronoun_X_refers_to_,,,,,,,,,,,,,,,,,,
,True,,super_glue_wsc.fixed_passage_what_does_the_pronoun_refer_to_,,,,,,,,,,,,,,,,,,
cast 4-way classification as binary,,,swag_regular_YesNo_0,,,True,,,,,,,,,,,,,,,
,,,swag_regular_YesNo_1,,,True,,,,,,,,,,,,,,,
,,,swag_regular_YesNo_2,,,True,,,,,,,,,,,,,,,
,,,swag_regular_YesNo_3,,,True,,,,,,,,,,,,,,,
,,,swag_regular_YesNo_reversed_0,,,True,,,,,,,,,,,,,,,
,,,swag_regular_YesNo_reversed_1,,,True,,,,,,,,,,,,,,,
,,,swag_regular_YesNo_reversed_2,,,True,,,,,,,,,,,,,,,
,,,swag_regular_YesNo_reversed_3,,,True,,,,,,,,,,,,,,,
,,,swag_regular_complete_first_then,True,,,,,,,,,,,,,,,,,
,,,swag_regular_first_then,True,,,,,,,,,,,,,,,,,
,,,swag_regular_how_ends,True,,,,,,,,,,,,,,,,,
,,,swag_regular_if_begins_how_continues,True,,,,,,,,,,,,,,,,,
,,,swag_regular_which_ending,True,,,,,,,,,,,,,,,,,
,,,trec_fine_grained_ABBR,True,,,,,,,,,,,,,,,,,
,,,trec_fine_grained_ABBR_context_first,True,,,,,,,,,,,,,,,,,
,,,trec_fine_grained_DESC,True,,,,,,,,,,,,,,,,,
,,,trec_fine_grained_DESC_context_first,True,,,,,,,,,,,,,,,,,
,,,trec_fine_grained_ENTY,True,,,,,,,,,,,,,,,,,
,,,trec_fine_grained_ENTY_context_first,True,,,,,,,,,,,,,,,,,
,,,trec_fine_grained_HUM,True,,,,,,,,,,,,,,,,,
,,,trec_fine_grained_HUM_context_first,True,,,,,,,,,,,,,,,,,
,,,trec_fine_grained_LOC,True,,,,,,,,,,,,,,,,,
,,,trec_fine_grained_LOC_context_first,True,,,,,,,,,,,,,,,,,
,,,trec_fine_grained_NUM,True,,,,,,,,,,,,,,,,,
,,,trec_fine_grained_NUM_context_first,True,,,,,,,,,,,,,,,,,
,,,trec_fine_grained_open,,True,,,,,,,,,,,,,,,,
,,,trec_fine_grained_open_context_first,,True,,,,,,,,,,,,,,,,
answers are not what the questions ask for,,True,trec_gao_et_al_1,,,,,,,,,,,,True,,,,,,
answers are not what the questions ask for,,True,trec_gao_et_al_2,,,,,,,,,,,,True,,,,,,
,,,trec_trec1,True,,,,,,,,,,,,,,,,,
,,,trec_trec2,True,,,,,,,,,,,,,,,,,
,,,trivia_qa_rc_context_self_description,,,,,,,,,,,,,,,,,,
,,,trivia_qa_rc_guess_question,,,,,True,True,,,,True,,,,,,,,
,,,trivia_qa_rc_question_answer,,,,,,,,,,,,,,,,,,
,,,trivia_qa_rc_question_with_instruction,,,,,,,,,,,,,,,,,,
,,,trivia_qa_rc_reading_comprehension_1,,,,,,,,,,True,,,,,,,,
,,,trivia_qa_rc_reading_comprehension_2,,,,,,,,,,True,,,,,,,,
,,,web_questions_count_answers,,,,,,,,,True,,,,,,,,,
,,,web_questions_credible_question,,,,,True,,,,,,,,,,,,,
,,,web_questions_if_answers_what_question,,,,,True,,,,,,,,,,,,,
,,,web_questions_potential_correct_answer,,,,,,,,,,,True,,,,,,,
,,,web_questions_question_answer,,,,,,,,,,,,,,,,,,
,,,web_questions_suggest_question,,,,,True,,,,,,,,,,,,,
,,,wiki_bio_comprehension,,,,,,,,,,True,,,,,,,,
,,,wiki_bio_guess_person,,,,,,,,,,True,,,,,,,,
,,,wiki_bio_key_content,,,,,,,,,,True,,,,,,,,
,,,wiki_bio_what_content,,,,,,,,,,True,,,,,,,,
"should rephrase ""summarize""",,,wiki_bio_who,,,,,,,,,,,,,,,,,,
,,,wiki_hop_original_Choose_Best_Object_Candidate,,,,,,,,,,True,,,,,,,,True
,,,wiki_hop_original_Explain_Relation,,True,,,,,,,,True,,,,,,,,
,,,wiki_hop_original_Generate_Fact_Triple,,,,,,,,,,True,,,,,,,,True
,,,wiki_hop_original_Generate_Object_Answer,,,,,,,,,,True,,,,,,,,True
,,,wiki_hop_original_Generate_Subject_Answer,,,,,,,,,,True,,,,,,,,True
,,,wiki_hop_original_Indirect_Question_about_Birthplace_Citizenship_Place_of_Death,,,,,,,,,,,,,True,,,,,
,,,wiqa_effect_with_label_answer,True,,,,,,,,,,,,,,,,,
,,,wiqa_effect_with_string_answer,True,,,,,,,,,,,,,,,,,
,,,wiqa_impacting_the_process,,,,True,,,,,,,,,,,,,,
,,,wiqa_question_type,,,,,,,,,,True,,,,,,,,
,,,wiqa_remove_first_step,,,,,,,,,,True,,,,,,,,
,,,wiqa_remove_first_step_bis,,,,,,,,,,True,,,,,,,,
,,,wiqa_remove_last_step,,,,,,,,,,True,,,,,,,,
,,,wiqa_remove_last_step_bis,,,,,,,,,,True,,,,,,,,
,True,,xsum_Document_,,,,,,,,,,,,,,,,,,
,True,,xsum_Summarize_this_document_,,,,,,,,,,,,,,,,,,
,True,,xsum_TLDR,,,,,,,,,,,,,,,,,,
,True,,xsum_generate_summary_for_this,,,,,,,,,,,,,,,,,,
,True,,xsum_summarize_,,,,,,,,,,,,,,True,,,,
,True,,xsum_write_one_sentence,,,,,,,,,,,,,,,,,,
,,,yelp_review_full_based_on_that,,True,,,,,,,,,,,,,,,,
,,,yelp_review_full_format_rating,,True,,,,,,,,,,,,,,,,
,,,yelp_review_full_format_score,,True,,,,,,,,,,,,,,,,
,,,yelp_review_full_format_star,,True,,,,,,,,,,,,,,,,
,,,yelp_review_full_on_a_scale,,True,,,,,,,,,,,,,,,,
,,,yelp_review_full_so_i_would,,True,,,,,,,,,,,,,,,,
,,,yelp_review_full_this_place,,True,,,,,,,,,,,,,,,,
